month,observation
2018-07,2.5
2018-08,2.7
2018-09,2.4
2018-10,2.4
2018-11,2.3
2018-12,2.1
2019-01,1.8
2019-02,1.9
2019-03,1.9
2019-04,2.1
2019-05,2.0
2019-06,2.0
2019-07,2.1
2019-08,1.7
2019-09,1.7
2019-10,1.5
2019-11,1.5
2019-12,1.3
2020-01,1.8
2020-02,1.7
2020-03,1.5
2020-04,0.8
2020-05,0.5
2020-06,0.6
2020-07,1.0
2020-08,0.2
2020-09,0.5
2020-10,0.7
2020-11,0.3
2020-12,0.6
2021-01,0.7
2021-02,0.4
2021-03,0.7
2021-04,1.5
2021-05,2.1
2021-06,2.5
2021-07,2.0
2021-08,3.2
2021-09,3.1
2021-10,4.2
2021-11,5.1
2021-12,5.4
2022-01,5.5
2022-02,6.2
2022-03,7.0
2022-04,9.0
2022-05,9.1
